"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"0500000US05137","Stone County, Arkansas","51133","4747","null","null",
"0500000US05139","Union County, Arkansas","59045","5782","null","null",
"0500000US05141","Van Buren County, Arkansas","50124","4673","null","null",
"0500000US05143","Washington County, Arkansas","66768","2427","null","null",
"0500000US05145","White County, Arkansas","54749","3545","null","null",
"0500000US05147","Woodruff County, Arkansas","55486","9726","null","null",
"0500000US05149","Yell County, Arkansas","56333","6016","null","null",
"0500000US06001","Alameda County, California","125834","1499","null","null",
"0500000US06003","Alpine County, California","94583","22096","null","null",
"0500000US06005","Amador County, California","81753","7493","null","null",
"0500000US06007","Butte County, California","71089","2631","null","null",
"0500000US06009","Calaveras County, California","82016","4711","null","null",
"0500000US06011","Colusa County, California","71304","4670","null","null",
"0500000US06013","Contra Costa County, California","119567","1821","null","null",
"0500000US06015","Del Norte County, California","64032","4060","null","null",
"0500000US06017","El Dorado County, California","105391","2821","null","null",
"0500000US06019","Fresno County, California","64036","1441","null","null",
"0500000US06021","Glenn County, California","60847","4194","null","null",
"0500000US06023","Humboldt County, California","69639","2748","null","null",
"0500000US06025","Imperial County, California","53558","4326","null","null",
"0500000US06027","Inyo County, California","75390","5390","null","null",
"0500000US06029","Kern County, California","61044","1182","null","null",
"0500000US06031","Kings County, California","64353","2739","null","null",
"0500000US06033","Lake County, California","65410","5231","null","null",
"0500000US06035","Lassen County, California","65384","2820","null","null",
"0500000US06037","Los Angeles County, California","80317","465","null","null",
"0500000US06039","Madera County, California","65627","2685","null","null",
"0500000US06041","Marin County, California","159898","4010","null","null",
"0500000US06043","Mariposa County, California","59242","5439","null","null",
"0500000US06045","Mendocino County, California","64887","2818","null","null",
"0500000US06047","Merced County, California","61162","1785","null","null",
"0500000US06049","Modoc County, California","57319","6645","null","null",
"0500000US06051","Mono County, California","84200","16909","null","null",
"0500000US06053","Monterey County, California","83052","1858","null","null",
"0500000US06055","Napa County, California","107995","3608","null","null",
"0500000US06057","Nevada County, California","88666","3218","null","null",
"0500000US06059","Orange County, California","106451","1086","null","null",
"0500000US06061","Placer County, California","114216","2275","null","null",
"0500000US06063","Plumas County, California","78137","8592","null","null",
"0500000US06065","Riverside County, California","81271","964","null","null",
"0500000US06067","Sacramento County, California","82041","937","null","null",
"0500000US06069","San Benito County, California","96564","6966","null","null",
"0500000US06071","San Bernardino County, California","72465","738","null","null",
